id;code;name;unit;allow_fractional_sale;description
1;1;PARAF FRANCES 3/16X3/4;Cento;True;PARAF FRANCES 3/16X3/4
2;2;PARAF SEXT UNC RI 1/4X1/2;Cento;True;PARAF SEXT UNC RI 1/4X1/2
3;3;PARAF FRANCES 3/16X1;Cento;True;PARAF FRANCES 3/16X1
4;4;PARAF FRANCES 3/16X1.1/4;Cento;True;PARAF FRANCES 3/16X1.1/4
6;6;PARAF SEXT UNC RI 3/16X1/2;Cento;True;PARAF SEXT UNC RI 3/16X1/2
7;7;PARAF SEXT UNC RI 3/16X5/8;Cento;True;PARAF SEXT UNC RI 3/16X5/8
8;9;PARAF SEXT UNC RI 3/16X3/4;Cento;True;PARAF SEXT UNC RI 3/16X3/4
9;10;PARAF SEXT UNC RI 3/16X7/8;Cento;True;PARAF SEXT UNC RI 3/16X7/8
10;11;PARAF SEXT UNC RI 3/16X1;Cento;True;PARAF SEXT UNC RI 3/16X1
11;12;PARAF SEXT UNC RI 3/16X1.1/4;Cento;True;PARAF SEXT UNC RI 3/16X1.1/4
12;13;PARAF SEXT UNC RI 3/16X1.1/2;Cento;True;PARAF SEXT UNC RI 3/16X1.1/2
13;14;PARAF SEXT UNC RI 3/16X1.3/4;Cento;True;PARAF SEXT UNC RI 3/16X1.3/4
14;15;PARAF SEXT UNC RI 3/16X2;Cento;True;PARAF SEXT UNC RI 3/16X2
15;16;PARAF SEXT UNC RI 1/4X5/8;Cento;True;PARAF SEXT UNC RI 1/4X5/8
16;17;PARAF SEXT UNC RI 1/4X3/4;Cento;True;PARAF SEXT UNC RI 1/4X3/4
17;18;PARAF SEXT UNC RI 1/4X7/8;Cento;True;PARAF SEXT UNC RI 1/4X7/8
18;19;PARAF SEXT UNC RI 1/4X1;Cento;True;PARAF SEXT UNC RI 1/4X1
19;20;PARAF SEXT UNC RI 1/4X1.1/4;Cento;True;PARAF SEXT UNC RI 1/4X1.1/4
20;21;PARAF SEXT UNC RI 1/4X1.1/2;Cento;True;PARAF SEXT UNC RI 1/4X1.1/2
21;22;PARAF SEXT UNC RI 1/4X1.3/4;Cento;True;PARAF SEXT UNC RI 1/4X1.3/4
22;23;PARAF SEXT UNC RI 1/4X2;Cento;True;PARAF SEXT UNC RI 1/4X2
23;24;PARAF SEXT UNC RI 1/4X2.1/4;Cento;True;PARAF SEXT UNC RI 1/4X2.1/4
